big_image.bmp;;;;;;;;;;;;;;;;;;;;;;
ASM (1);424418;450850;407395;391104;376942;375461;389886;414239;395227;372660;421920;403228;372930;402448;377199;377088;401733;364017;375272;371034;;393252,55
ASM (2);304289;305371;293530;249183;327860;273190;288387;319268;329566;320052;298628;333588;318443;266446;289846;312084;313203;321737;297725;256936;;300966,6
ASM (4);355982;319328;326913;335748;318685;338538;344012;308521;324741;349521;316344;286994;332937;342137;322025;340888;302824;356257;307747;324081;;327711,15
ASM (8);448322;461296;449652;442121;400147;438013;461538;402082;423648;481148;435433;398114;434594;447281;478154;446108;439647;431920;445998;464017;;441461,65
ASM (16);628306;796383;717840;692023;704496;635734;660999;715244;657180;669275;697444;634113;744429;754574;651266;759278;703861;660935;663065;662770;;690460,75
ASM (32);1227970;1146760;1248364;1137595;1316007;1137571;1222789;936650;1350721;1069141;1172283;1429464;1118355;1149913;1208139;1151205;1249109;1108618;1093367;1234923;;1185447,2
ASM (64);2203177;2000547;1969788;2090265;2070512;1987488;2003944;2002503;2504393;2117549;1988060;2500092;2030435;2079811;2470803;2150665;2256287;1949372;2204220;1906497;;2124320,4
C++ (1);695199;744024;717366;723764;704530;685657;678716;695440;723088;728073;715855;704008;743624;750729;716849;731494;713710;707480;709247;716176;;715251,45
C++ (2);442668;448408;495146;480172;487145;485861;448160;477433;521426;477691;458488;445941;466667;476445;500531;516949;477194;480313;440158;508232;;476751,4
C++ (4);471239;453725;393943;408973;441309;485395;424347;466102;474341;502871;454680;445161;486999;441701;446397;506746;482061;412518;456025;453826;;455417,95
C++ (8);542247;532717;565643;511168;523587;526428;580228;545738;518472;543847;538391;477252;574729;573468;450632;516753;563369;517047;540830;539001;;534077,35
C++ (16);811722;870318;865072;845700;848674;807918;873299;782360;810121;792145;748169;919909;760087;797195;843284;711833;777193;829673;751288;824926;;813544,3
C++ (32);1336895;1329210;1237971;1257550;1312240;1159409;1368701;1301205;1389993;1336174;1313574;1258511;1440303;1284258;1217397;1223948;1362062;1261793;1210480;1281554;;1294161,4
C++ (64);2373867;1300602;3065656;2376194;1902971;2270127;2267961;2511304;2113298;2266950;2128676;2356311;2229989;2402547;2266862;2225948;2428515;2238889;2652393;2298394;;2283872,7
