big_image.bmp;;;;;;;;;;;;;;;;;;;;;;
ASM (1);586087;576554;535155;551174;545377;526209;488273;550647;480453;528277;499375;523861;484067;486467;517949;526208;515987;517333;480703;509985;;521507,05
ASM (2);368221;377365;364330;367021;371902;390867;343280;369269;397926;352609;355559;348266;407323;336768;373784;341962;349959;433821;367342;405850;;371171,2
ASM (4);389383;396787;356219;329211;436340;423395;402766;382896;435180;388621;359124;390421;378850;399433;439178;384280;386272;362570;346227;397172;;389216,25
ASM (8);548712;471885;469131;488765;469978;477005;469367;465631;551596;481709;413605;520147;468349;497730;481148;467795;543041;508296;480034;603688;;493880,6
ASM (16);646252;692227;737114;649928;755849;650853;707237;729151;726471;659631;704566;678670;742522;590697;707542;783508;698312;603106;691629;710986;;693312,55
ASM (32);1044613;1217236;1102159;1199712;1187700;1222770;1197265;1082079;1110177;1067542;1249846;1247946;1121142;1204597;1281345;1090257;1033163;1372341;1126197;1207901;;1168299,4
ASM (64);2173660;1867269;1797329;1910591;1960982;1845908;2003929;1895219;2607158;1870702;2023193;2270005;1996686;1840777;2632745;1908245;1865448;2172863;1858176;2164759;;2033282,2
C++ (1);963611;928675;904537;958058;932368;904610;905381;942308;931293;908660;925470;940858;928184;935482;912962;909997;925400;915047;900646;905723;;923963,5
C++ (2);554301;549364;577043;561667;573043;566057;565957;552460;544721;539468;567774;581152;551810;538596;505112;573139;539304;516906;507756;629450;;554754
C++ (4);565615;492805;563332;487305;501005;506097;533799;433094;503156;487259;485379;459482;477480;476174;507801;517301;577301;529562;504149;518515;;506330,55
C++ (8);541813;601277;590427;588117;574199;608944;550466;593831;603183;584476;566496;564284;589439;630238;616517;619209;623714;526918;737666;594377;;595279,55
C++ (16);839053;930011;794007;866235;790270;861271;812546;917464;877338;785605;895797;762826;852665;856094;886809;910887;885175;877880;794007;839719;;851782,95
C++ (32);1355847;1106435;1439029;1188197;1498696;1404055;1254979;1122251;1217664;1127715;1311813;1265095;1386114;1360534;1353377;1161115;1383213;1265183;1283981;1418522;;1295190,75
C++ (64);2086749;1987512;2052158;2028221;2573663;2102110;2142198;2607411;2347027;2267921;2071263;2026485;2151433;2170589;2787962;2053155;2915486;2195835;2152752;2263192;;2249156,1
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ASM;C++;;;;;;;;;;;;;;;
;;;;;1;521,50705;923,9635;;;;521507,05;923963,5;;;;;;;;;;
;;;;;2;371,1712;554,754;;;;371171,2;554754;;;;;;;;;;
;;;;;4;389,21625;506,33055;;;;389216,25;506330,55;;;;;;;;;;
;;;;;8;493,8806;595,27955;;;;493880,6;595279,55;;;;;;;;;;
;;;;;16;693,31255;851,78295;;;;693312,55;851782,95;;;;;;;;;;
;;;;;32;1168,2994;1295,19075;;;;1168299,4;1295190,75;;;;;;;;;;
;;;;;64;2033,2822;2249,1561;;;;2033282,2;2249156,1;;;;;;;;;;
